CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET,,,
"1170;Shaughnessy;""{""""coordinates"""": [-123.13147681282086", 49.241278684802545]," """"type"""": """"Point""""}"";__FIYFWM;73014630;010949135;W 33RD AV",1170
"1130;Shaughnessy;""{""""coordinates"""": [-123.13093546938116", 49.24125997783682]," """"type"""": """"Point""""}"";__FIYFWQ;73014662;010949160;W 33RD AV",1130
"1061;Shaughnessy;""{""""coordinates"""": [-123.1297385109193", 49.23705431495916]," """"type"""": """"Point""""}"";__FIYFZQ;74114837;009003851;W 38TH AV",1061
"1037;Shaughnessy;""{""""coordinates"""": [-123.1294479429877", 49.23704474613991]," """"type"""": """"Point""""}"";__FIYFZS;74114857;009003886;W 38TH AV",1037
"1011;Shaughnessy;""{""""coordinates"""": [-123.12913664511048", 49.236987542936824]," """"type"""": """"Point""""}"";__FIYFZU;74114877;009003916;W 38TH AV",1011
"1050;Shaughnessy;""{""""coordinates"""": [-123.12948565923507", 49.236506338215484]," """"type"""": """"Point""""}"";__FIYG00;74114854;009003924;W 38TH AV",1050
"1028;Shaughnessy;""{""""coordinates"""": [-123.12891123627755", 49.23741192064648]," """"type"""": """"Point""""}"";__FIYG04;73914864;002708329;W 37TH AV",1028
"1092;Shaughnessy;""{""""coordinates"""": [-123.1300136173581", 49.2374484383204]," """"type"""": """"Point""""}"";__FIYG0C;73914806;009003819;W 37TH AV",1092
"1168;Shaughnessy;""{""""coordinates"""": [-123.13164341882649", 49.23658030517702]," """"type"""": """"Point""""}"";__FIYG0G;74114632;011097329;W 38TH AV",1168
"1122;Shaughnessy;""{""""coordinates"""": [-123.13083697259049", 49.23655110523919]," """"type"""": """"Point""""}"";__FIYG0M;74114680;011097370;W 38TH AV",1122
"1112;Shaughnessy;""{""""coordinates"""": [-123.13056838674159", 49.23654152333537]," """"type"""": """"Point""""}"";__FIYG0O;74114696;011097400;W 38TH AV",1112
