Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
1357 38TH AVE W VANCOUVER V6M 1R3,"$6,000,300",5985000.00,15300.00,1920.00,17400,$343.97
5385 HUDSON ST VANCOUVER V6M 2Z1,"$4,427,000",3284000.00,1143000.00,1993.00,8400,$390.95
1357 38TH AVE W VANCOUVER V6M 1R3,"$6,000,300",5985000.00,15300.00,1920.00,17400,$343.97
5112 GRANVILLE ST VANCOUVER V6M 3B6,"$3,440,000",3240000.00,200000.00,1946.00,10150,$319.21
5212 GRANVILLE ST VANCOUVER V6M 3B8,"$3,590,000",3240000.00,350000.00,1939.00,10150,$319.21
5326 CONNAUGHT DR VANCOUVER V6M 3G6,"$7,527,000",5667000.00,1860000.00,1929.00,14295,$396.43
1530 37TH AVE W VANCOUVER V6M 1M6,"$7,187,000",5386000.00,1801000.00,1928.00,14311,$376.35
1529 37TH AVE W VANCOUVER V6M 1M5,"$6,317,000",6115000.00,202000.00,1931.00,15400,$397.08
1518 36TH AVE W VANCOUVER V6M 1J8,"$6,189,000",3468000.00,2721000.00,2014.00,11825.01,$293.28
1528 36TH AVE W VANCOUVER V6M 1J8,"$6,544,000",4848000.00,1696000.00,2001.00,13300,$364.51
1550 36TH AVE W VANCOUVER V6M 1J8,"$6,372,000",6115000.00,257000.00,1927.00,15400,$397.08
1520 35TH AVE W VANCOUVER V6M 1H2,"$5,217,000",4848000.00,369000.00,1929.00,13300,$364.51
5175 GRANVILLE ST VANCOUVER V6M 3B7,"$3,734,300",3656000.00,78300.00,1954.00,13300,$274.89
1529 36TH AVE W VANCOUVER V6M 1J9,"$7,075,000",6115000.00,960000.00,1922.00,15400,$397.08
5176 CONNAUGHT DR VANCOUVER V6M 3G3,"$6,946,000",6631000.00,315000.00,1922.00,16800,$394.70
1511 35TH AVE W VANCOUVER V6M 1H1,"$6,620,000",3656000.00,2964000.00,2008.00,13300,$274.89
5078 MARGUERITE ST VANCOUVER V6M 3K1,"$4,531,200",4458000.00,73200.00,1954.00,8305,$536.79
5098 MARGUERITE ST VANCOUVER V6M 3K1,"$5,633,000",3882000.00,1751000.00,2003.00,7344,$528.59
5188 MARGUERITE ST VANCOUVER V6M 3K2,"$6,417,000",4977000.00,1440000.00,1996.00,10671.54,$466.38
5210 MARGUERITE ST VANCOUVER V6M 3K2,"$4,894,000",4479000.00,415000.00,1924.00,10672.86,$419.66
5250 MARGUERITE ST VANCOUVER V6M 3K2,"$6,815,000",4977000.00,1838000.00,2005.00,10675.5,$466.21
5288 MARGUERITE ST VANCOUVER V6M 3K2,"$6,340,000",4977000.00,1363000.00,1990.00,10668.24,$466.52
5261 CONNAUGHT DR VANCOUVER V6M 3G2,"$6,089,000",5954000.00,135000.00,1923.00,16264,$366.08
5237 CONNAUGHT DR VANCOUVER V6M 3G2,"$6,034,000",5730000.00,304000.00,1929.00,14735.2,$388.86
1626 37TH AVE W VANCOUVER V6M 1M7,"$6,521,000",6242000.00,279000.00,1946.00,16200,$385.31
1622 37TH AVE W VANCOUVER V6M 1M7,"$6,372,000",6242000.00,130000.00,1962.00,16200,$385.31
1639 AVONDALE AVE VANCOUVER V6M 1S2,"$7,328,000",6757000.00,571000.00,1926.00,17702,$381.71
1622 AVONDALE AVE VANCOUVER V6M 1S1,"$6,381,000",6156000.00,225000.00,1926.00,15650,$393.35
5515 SOMERSET CRES VANCOUVER V6M 1S5,"$7,480,000",7265000.00,215000.00,1928.00,19285,$376.72
1392 37TH AVE W VANCOUVER V6M 1M2,"$4,112,000",3982000.00,130000.00,1941.00,10050,$396.22
1198 40TH AVE W VANCOUVER V6M 1V2,"$4,217,000",3722000.00,495000.00,1989.00,7800,$477.18
1168 40TH AVE W VANCOUVER V6M 1V2,"$6,351,000",3691000.00,2660000.00,2014.00,7680,$480.60
5633 OSLER ST VANCOUVER V6M 2X2,"$4,165,000",3722000.00,443000.00,1984.00,7800,$477.18
1121 41ST AVE W VANCOUVER V6M 1X1,"$2,992,000",2578000.00,414000.00,1991.00,7648,$337.08
1135 41ST AVE W VANCOUVER V6M 1X1,"$2,961,000",2578000.00,383000.00,1945.00,7648,$337.08
5675 SELKIRK ST VANCOUVER V6M 2Y4,"$3,030,000",2736000.00,294000.00,1984.00,8604,$317.99
1178 27TH AVE W VANCOUVER V6H 2B8,"$3,831,000",3450000.00,381000.00,1988.00,6250,$552.00
1138 27TH AVE W VANCOUVER V6H 2B8,"$3,847,000",3450000.00,397000.00,1989.00,6250,$552.00
1122 27TH AVE W VANCOUVER V6H 2B8,"$3,695,000",3450000.00,245000.00,1925.00,6250,$552.00
1252 27TH AVE W VANCOUVER V6H 2B9,"$4,340,000",3449000.00,891000.00,1992.00,6247.5,$552.06
1263 27TH AVE W VANCOUVER V6H 2C1,"$4,667,000",3450000.00,1217000.00,2013.00,6250,$552.00
1269 27TH AVE W VANCOUVER V6H 2C1,"$4,088,000",3450000.00,638000.00,1995.00,6250,$552.00
1256 26TH AVE W VANCOUVER V6H 2A9,"$3,525,900",3450000.00,75900.00,1919.00,6250,$552.00
1256 26TH AVE W VANCOUVER V6H 2A9,"$3,525,900",3450000.00,75900.00,1919.00,6250,$552.00
4328 HUDSON ST VANCOUVER V6H 3B5,"$3,654,000",3449000.00,205000.00,1920.00,6246.25,$552.17
1288 27TH AVE W VANCOUVER V6H 2B9,"$3,784,000",3450000.00,334000.00,1984.00,6250,$552.00
1276 27TH AVE W VANCOUVER V6H 2B9,"$3,599,000",3450000.00,149000.00,1923.00,6250,$552.00
1388 NANTON AVE VANCOUVER V6H 2C9,"$5,292,000",4611000.00,681000.00,1990.00,8903,$517.92
1468 26TH AVE W VANCOUVER V6H 2B4,"$5,487,000",4403000.00,1084000.00,1993.00,9000,$489.22
1425 NANTON AVE VANCOUVER V6H 2E1,"$3,978,700",3887000.00,91700.00,1926.00,8750,$444.23
1457 26TH AVE W VANCOUVER V6H 2B3,"$5,025,000",4525000.00,500000.00,1926.00,9562.5,$473.20
1457 26TH AVE W VANCOUVER V6H 2B3,"$5,025,000",4525000.00,500000.00,1926.00,9562.5,$473.20
1326 26TH AVE W VANCOUVER V6H 2B1,"$3,689,000",3450000.00,239000.00,1928.00,6250,$552.00
4289 HUDSON ST VANCOUVER V6H 3B3,"$4,485,000",4368000.00,117000.00,1923.00,9260,$471.71
1339 NANTON AVE VANCOUVER V6H 2C8,"$7,058,000",5196000.00,1862000.00,1998.00,11616.21,$447.31
1383 NANTON AVE VANCOUVER V6H 2C8,"$6,405,000",4886000.00,1519000.00,1919.00,10172,$480.34
1592 26TH AVE W VANCOUVER V6J 2W9,"$4,022,000",3914000.00,108000.00,1926.00,8875,$441.01
1566 26TH AVE W VANCOUVER V6J 2W9,"$5,746,000",4115000.00,1631000.00,1994.00,8750,$470.29
4237 GRANVILLE ST VANCOUVER V6H 3L4,"$3,130,700",3039000.00,91700.00,1926.00,8775,$346.32
1535 NANTON AVE VANCOUVER V6J 2X3,"$4,312,000",3795000.00,517000.00,1927.00,8750,$433.71
1549 NANTON AVE VANCOUVER V6J 2X3,"$4,457,000",4344000.00,113000.00,1924.00,8750,$496.46
1576 NANTON AVE VANCOUVER V6J 2X2,"$4,524,100",4442000.00,82100.00,1924.00,8243.4,$538.86
1542 NANTON AVE VANCOUVER V6J 2X2,"$4,414,000",4220000.00,194000.00,1921.00,8243.4,$511.92
4325 GRANVILLE ST VANCOUVER V6H 3L6,"$3,237,000",3039000.00,198000.00,1974.00,8768.5,$346.58
4339 GRANVILLE ST VANCOUVER V6H 3L6,"$3,249,000",3039000.00,210000.00,1974.00,8768.5,$346.58
4355 GRANVILLE ST VANCOUVER V6H 3L6,"$3,462,000",3039000.00,423000.00,1912.00,8768.5,$346.58
1598 28TH AVE W VANCOUVER V6J 2Y5,"$10,730,000",5262000.00,5468000.00,2011.00,12000,$438.50
1568 28TH AVE W VANCOUVER V6J 2Y5,"$5,327,000",4833000.00,494000.00,1989.00,9900,$488.18
4487 GRANVILLE ST VANCOUVER V6H 3L7,"$3,410,000",3271000.00,139000.00,1925.00,10400,$314.52
1575 29TH AVE W VANCOUVER V6J 2Z1,"$4,884,200",4833000.00,51200.00,1943.00,9900,$488.18
4195 ALEXANDRA ST VANCOUVER V6J 4C6,"$76,131,000",60888000.00,15243000.00,2006.00,173967,$350.00
1628 NANTON AVE VANCOUVER V6J 2X4,"$4,938,000",4248000.00,690000.00,1989.00,9367.5,$453.48
1632 NANTON AVE VANCOUVER V6J 2X4,"$4,367,000",4248000.00,119000.00,1924.00,9367.5,$453.48
1656 NANTON AVE VANCOUVER V6J 2X4,"$4,411,000",4248000.00,163000.00,1924.00,9367.5,$453.48
4412 MARGUERITE ST VANCOUVER V6J 4G6,"$5,281,000",5095000.00,186000.00,1924.00,11254,$452.73
4462 MARGUERITE ST VANCOUVER V6J 4G6,"$6,618,000",4917000.00,1701000.00,2002.00,10339,$475.58
1689 29TH AVE W VANCOUVER V6J 2Z3,"$6,363,000",5094000.00,1269000.00,1990.00,11251,$452.76
1669 29TH AVE W VANCOUVER V6J 2Z3,"$9,325,000",6319000.00,3006000.00,2021.00,16725,$377.82
1608 28TH AVE W VANCOUVER V6J 2Y7,"$6,662,000",5542000.00,1120000.00,1986.00,13500,$410.52
1658 28TH AVE W VANCOUVER V6J 2Y7,"$5,405,000",5262000.00,143000.00,1924.00,12000,$438.50
1676 28TH AVE W VANCOUVER V6J 2Y7,"$5,542,000",5278000.00,264000.00,1925.00,12075,$437.10
4112 GRANVILLE ST VANCOUVER V6H 3L3,"$2,846,300",2747000.00,99300.00,1924.00,8850,$310.40
4138 GRANVILLE ST VANCOUVER V6H 3L3,"$3,131,900",3052000.00,79900.00,1925.00,8850,$344.86
1070 KING EDWARD AVE W VANCOUVER V6H 1Z4,"$4,062,000",3333000.00,729000.00,1946.00,9900,$336.67
1050 KING EDWARD AVE W VANCOUVER V6H 1Z4,"$4,085,000",3333000.00,752000.00,1946.00,9900,$336.67
4141 OAK ST VANCOUVER V6H 2N1,"$4,770,000",2895000.00,1875000.00,1946.00,6378,$453.90
1588 29TH AVE W VANCOUVER V6J 2Z2,"$6,536,000",6313000.00,223000.00,1921.00,16687,$378.32
1527 KING EDWARD AVE W VANCOUVER V6J 2V7,"$3,919,000",3453000.00,466000.00,1969.00,13623.234,$253.46
1980 36TH AVE W VANCOUVER V6M 1K8,"$5,275,000",3619000.00,1656000.00,2014.00,6000,$603.17
1790 38TH AVE W VANCOUVER V6M 1R6,"$20,132,000",8110000.00,12022000.00,1928.00,24700,$328.34
1790 38TH AVE W VANCOUVER V6M 1R6,"$20,132,000",8110000.00,12022000.00,1928.00,24700,$328.34
1692 40TH AVE W VANCOUVER V6M 1V9,"$6,630,000",6371000.00,259000.00,1928.00,17100,$372.57
1741 41ST AVE W VANCOUVER V6M 1Y1,"$4,491,100",4413000.00,78100.00,1949.00,16150,$273.25
5637 LABURNUM ST VANCOUVER V6M 3S7,"$8,735,000",4396000.00,4339000.00,2018.00,10164,$432.51
2019 36TH AVE W VANCOUVER V6M 1L1,"$3,858,000",3619000.00,239000.00,1920.00,6000,$603.17
2085 36TH AVE W VANCOUVER V6M 1L1,"$3,362,000",3062000.00,300000.00,1954.00,5416.5,$565.31
4211 PINE CRES VANCOUVER V6J 4K8,"$4,469,000",4361000.00,108000.00,1923.00,7950,$548.55
2047 35TH AVE W VANCOUVER V6M 1J1,"$5,536,000",5242000.00,294000.00,1914.00,10437.5,$502.23
4183 CYPRESS ST VANCOUVER V6J 3P7,"$7,122,000",4773000.00,2349000.00,1998.00,14234.4,$335.31
4483 MARGUERITE ST VANCOUVER V6J 4G5,"$6,019,000",4635000.00,1384000.00,1994.00,9000,$515.00
4784 MARGUERITE ST VANCOUVER V6J 4G9,"$6,367,000",4204000.00,2163000.00,2006.00,8365.5,$502.54
4788 MARGUERITE ST VANCOUVER V6J 4G9,"$6,244,000",4250000.00,1994000.00,2006.00,8365.5,$508.04
4828 MARGUERITE ST VANCOUVER V6J 4G9,"$6,619,000",4020000.00,2599000.00,2008.00,7519.05,$534.64
1355 26TH AVE W VANCOUVER V6H 2B2,"$4,346,000",3450000.00,896000.00,1920.00,6250,$552.00
1035 CONNAUGHT DR VANCOUVER V6H 2G7,"$5,383,000",3210000.00,2173000.00,2015.00,8079.5,$397.30
1849 35TH AVE W VANCOUVER V6M 1H5,"$5,783,000",3700000.00,2083000.00,2016.00,6840,$540.94
1029 NANTON AVE VANCOUVER V6H 2C3,"$4,718,000",3208000.00,1510000.00,2016.00,8073,$397.37
4787 MARGUERITE ST VANCOUVER,"$5,849,000",3824000.00,2025000.00,2019.00,6892.73,$554.79
1037 KING EDWARD AVE W VANCOUVER V6H 1Z3,"$14,745,000",5887000.00,8858000.00,2021.00,18944.48,$310.75
1037 KING EDWARD AVE W VANCOUVER V6H 1Z3,"$14,745,000",5887000.00,8858000.00,2021.00,18944.48,$310.75
1038 27TH AVE W VANCOUVER V6H 2B6,"$4,006,000",3436000.00,570000.00,1990.00,7725,$444.79
1149 26TH AVE W VANCOUVER V6H 2A6,"$5,502,000",3450000.00,2052000.00,2015.00,6250,$552.00
1138 26TH AVE W VANCOUVER V6H 2A7,"$4,589,000",3450000.00,1139000.00,1995.00,6250,$552.00
1276 26TH AVE W VANCOUVER V6H 2A9,"$3,540,200",3450000.00,90200.00,1924.00,6250,$552.00
1430 KING EDWARD AVE W VANCOUVER V6H 2A2,"$4,368,000",4151000.00,217000.00,1928.00,14750,$281.42
1060 KING EDWARD AVE W VANCOUVER V6H 1Z4,"$4,257,000",3333000.00,924000.00,2004.00,9900,$336.67
1150 KING EDWARD AVE W VANCOUVER V6H 1Z6,"$3,368,900",3312000.00,56900.00,1928.00,9750,$339.69
1150 KING EDWARD AVE W VANCOUVER V6H 1Z6,"$3,368,900",3312000.00,56900.00,1928.00,9750,$339.69
4596 OSLER ST VANCOUVER V6H 2Y1,"$4,227,000",3709000.00,518000.00,1990.00,7188,$516.00
4649 OSLER ST VANCOUVER V6H 2Y3,"$4,243,000",3220000.00,1023000.00,1925.00,6250,$515.20
1122 32ND AVE W VANCOUVER V6H 2H9,"$6,248,000",5206000.00,1042000.00,1994.00,11739,$443.48
1257 32ND AVE W VANCOUVER V6H 2J1,"$10,064,000",4825000.00,5239000.00,2011.00,9858.42,$489.43
1493 32ND AVE W VANCOUVER V6H 2J4,"$5,708,000",3148000.00,2560000.00,2007.00,12640,$249.05
1138 NANTON AVE VANCOUVER V6H 2C5,"$3,970,000",3450000.00,520000.00,1992.00,6250,$552.00
1189 NANTON AVE VANCOUVER V6H 2C4,"$4,423,000",3728000.00,695000.00,1992.00,7250,$514.21
1268 NANTON AVE VANCOUVER V6H 2C6,"$4,829,000",4301000.00,528000.00,1922.00,7745.1,$555.32
1343 DEVONSHIRE CRES VANCOUVER V6H 2G3,"$5,737,000",4159000.00,1578000.00,2015.00,7299.6,$569.76
1343 DEVONSHIRE CRES VANCOUVER V6H 2G3,"$5,737,000",4159000.00,1578000.00,2015.00,7299.6,$569.76
3851 OSLER ST VANCOUVER V6H 2W7,"$5,964,000",5859000.00,105000.00,1912.00,13399,$437.27
4426 HUDSON ST VANCOUVER V6H 3B7,"$4,594,000",3614000.00,980000.00,2003.00,5638,$641.01
5055 CONNAUGHT DR VANCOUVER V6M 3G2,"$6,410,000",5910000.00,500000.00,1921.00,15960,$370.30
