Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
1907 41ST AVE W VANCOUVER V6M 1Y5,"$3,250,200",3171000.00,79200.00,1951.00,11000,$288.27
5549 CYPRESS ST VANCOUVER V6M 3R5,"$5,020,000",4324000.00,696000.00,1929.00,9760,$443.03
5550 MAPLE ST VANCOUVER V6M 3T7,"$5,627,000",4152000.00,1475000.00,1997.00,10164,$408.50
5666 MAPLE ST VANCOUVER V6M 3T7,"$4,938,000",3806000.00,1132000.00,1989.00,10137.6,$375.43
5687 LABURNUM ST VANCOUVER V6M 3S7,"$3,479,000",2901000.00,578000.00,1988.00,8875,$326.87
5661 LABURNUM ST VANCOUVER V6M 3S7,"$4,140,400",4053000.00,87400.00,1928.00,10154.76,$399.12
5611 LABURNUM ST VANCOUVER V6M 3S7,"$4,549,000",4396000.00,153000.00,1927.00,10164,$432.51
5611 LABURNUM ST VANCOUVER V6M 3S7,"$4,549,000",4396000.00,153000.00,1927.00,10164,$432.51
2042 35TH AVE W VANCOUVER V6M 1H9,"$3,706,700",3619000.00,87700.00,1925.00,6000,$603.17
2034 35TH AVE W VANCOUVER V6M 1H9,"$3,733,000",3619000.00,114000.00,1933.00,6000,$603.17
2045 36TH AVE W VANCOUVER V6M 1L1,"$5,752,000",3619000.00,2133000.00,2020.00,6000,$603.17
2050 36TH AVE W VANCOUVER V6M 1K9,"$4,005,000",3619000.00,386000.00,1914.00,6000,$603.17
2020 36TH AVE W VANCOUVER V6M 1K9,"$3,919,000",3619000.00,300000.00,1915.00,6000,$603.17
2011 37TH AVE W VANCOUVER V6M 1N7,"$4,156,000",3438000.00,718000.00,1920.00,6000,$573.00
2035 41ST AVE W VANCOUVER V6M 1Y7,"$3,970,000",3164000.00,806000.00,1949.00,3050,"$1,037.38"
2035 41ST AVE W VANCOUVER V6M 1Y7,"$3,970,000",3164000.00,806000.00,1949.00,3050,"$1,037.38"
2063 36TH AVE W VANCOUVER V6M 1L1,"$3,468,700",3438000.00,30700.00,1920.00,6000,$573.00
2071 36TH AVE W VANCOUVER V6M 1L1,"$4,991,000",3438000.00,1553000.00,2017.00,6000,$573.00
2066 36TH AVE W VANCOUVER V6M 1K9,"$4,897,000",3438000.00,1459000.00,2020.00,6000,$573.00
2063 37TH AVE W VANCOUVER V6M 1N7,"$3,347,700",3257000.00,90700.00,1912.00,6000,$542.83
2075 37TH AVE W VANCOUVER V6M 1N7,"$3,268,100",3256000.00,12100.00,1929.00,6000,$542.67
4237 MARGUERITE ST VANCOUVER V6J 4G2,"$5,176,000",4466000.00,710000.00,1991.00,9277.5,$481.38
4289 MARGUERITE ST VANCOUVER V6J 4G2,"$8,160,000",4717000.00,3443000.00,2012.00,10603.8,$444.84
4198 ANGUS DR VANCOUVER V6J 4H9,"$6,356,000",4722000.00,1634000.00,1996.00,9375,$503.68
4188 ANGUS DR VANCOUVER V6J 4H9,"$5,938,000",4722000.00,1216000.00,1992.00,9373.9997,$503.73
4288 PINE CRES VANCOUVER V6J 4K7,"$5,292,000",5012000.00,280000.00,1922.00,10887.6,$460.34
4272 PINE CRES VANCOUVER V6J 4K7,"$7,467,000",4744000.00,2723000.00,2012.00,9472.5,$500.82
4238 PINE CRES VANCOUVER V6J 4K7,"$6,627,000",4739000.00,1888000.00,1920.00,9450,$501.48
4164 PINE CRES VANCOUVER V6J 4K7,"$4,907,000",4731000.00,176000.00,1919.00,9412.5,$502.63
1826 KING EDWARD AVE W VANCOUVER V6J 2W2,"$3,865,000",3593000.00,272000.00,1924.00,13500,$266.15
1808 KING EDWARD AVE W VANCOUVER V6J 2W2,"$3,885,200",3822000.00,63200.00,1922.00,13635,$280.31
4123 PINE CRES VANCOUVER V6J 4K8,"$5,692,000",3671000.00,2021000.00,1995.00,12300,$298.46
4239 PINE CRES VANCOUVER V6J 4K8,"$6,905,000",4361000.00,2544000.00,2013.00,7950,$548.55
4281 PINE CRES VANCOUVER V6J 4K8,"$9,743,000",4663000.00,5080000.00,2013.00,9116,$511.52
4288 CYPRESS ST VANCOUVER V6J 3P8,"$9,383,000",4914000.00,4469000.00,2012.00,10320,$476.16
4212 CYPRESS ST VANCOUVER V6J 3P8,"$6,208,000",4635000.00,1573000.00,1998.00,9000,$515.00
1750 NANTON AVE VANCOUVER V6J 2X6,"$7,711,000",4957000.00,2754000.00,2010.00,10560,$469.41
4362 ANGUS DR VANCOUVER V6J 4J3,"$5,264,000",4979000.00,285000.00,1922.00,10686.96,$465.89
4490 ANGUS DR VANCOUVER V6J 4J3,"$6,082,000",4659000.00,1423000.00,2001.00,9100.8,$511.93
4448 PINE CRES VANCOUVER V6J 4L1,"$8,751,000",4422000.00,4329000.00,2010.00,8169.6,$541.27
4490 PINE CRES VANCOUVER V6J 4L1,"$5,404,000",4749000.00,655000.00,1923.00,9496.8,$500.06
4489 ANGUS DR VANCOUVER V6J 4J2,"$5,279,000",4857000.00,422000.00,1922.00,10018.8,$484.79
4387 ANGUS DR VANCOUVER V6J 4J2,"$4,483,000",4304000.00,179000.00,1925.00,7752.96,$555.14
4361 ANGUS DR VANCOUVER V6J 4J2,"$4,386,000",4244000.00,142000.00,1925.00,7558.56,$561.48
4311 ANGUS DR VANCOUVER V6J 4J2,"$5,421,000",4738000.00,683000.00,1923.00,9447.9,$501.49
4489 PINE CRES VANCOUVER V6J 4K9,"$6,446,000",4773000.00,1673000.00,2002.00,9608.9,$496.73
4469 PINE CRES VANCOUVER V6J 4K9,"$9,079,000",5035000.00,4044000.00,2019.00,11006,$457.48
4449 PINE CRES VANCOUVER V6J 4K9,"$6,834,000",5083000.00,1751000.00,2016.00,11195.357,$454.03
4429 PINE CRES VANCOUVER V6J 4K9,"$5,689,000",5489000.00,200000.00,1925.00,13185.348,$416.30
4387 PINE CRES VANCOUVER V6J 4K9,"$5,227,800",5172000.00,55800.00,1927.00,11582.5808,$446.53
4361 PINE CRES VANCOUVER V6J 4K9,"$5,389,000",4815000.00,574000.00,1992.00,9806.076,$491.02
1856 29TH AVE W VANCOUVER V6J 2Z7,"$3,644,000",3450000.00,194000.00,1924.00,6250,$552.00
4328 CYPRESS ST VANCOUVER V6J 3R1,"$7,544,000",4867000.00,2677000.00,2014.00,9000,$540.78
4338 CYPRESS ST CHILLIWACK V2R 5E7,"$958,000",617000.00,341000.00,1959.00,8712,$70.82
4362 CYPRESS ST VANCOUVER V6J 3R1,"$4,887,000",4635000.00,252000.00,1925.00,9000,$515.00
4410 CYPRESS ST VANCOUVER V6J 3R1,"$4,445,300",4383000.00,62300.00,1924.00,10087,$434.52
4450 MAPLE CRES VANCOUVER V6J 4B3,"$4,481,500",4405000.00,76500.00,1926.00,11629.32,$378.78
1887 29TH AVE W VANCOUVER V6J 2Z8,"$5,481,000",4317000.00,1164000.00,1996.00,11184,$386.00
4369 CYPRESS ST VANCOUVER V6J 3P9,"$2,584,000",2471000.00,113000.00,1924.00,7807,$316.51
1750 KING EDWARD AVE W VANCOUVER V6J 2V9,"$3,546,000",3401000.00,145000.00,1961.00,11925,$285.20
1906 KING EDWARD AVE W VANCOUVER V6J 2W6,"$3,564,000",3443000.00,121000.00,1946.00,10800,$318.80
4211 CYPRESS ST VANCOUVER V6J 3P7,"$5,084,000",4963000.00,121000.00,1925.00,15822,$313.68
4147 CYPRESS CRES VANCOUVER V6J 4L4,"$4,111,000",3678000.00,433000.00,1931.00,7988.4,$460.42
4168 MAPLE CRES VANCOUVER V6J 4B2,"$3,300,000",3185000.00,115000.00,1928.00,8287.62,$384.31
4489 MARGUERITE ST VANCOUVER V6J 4G5,"$4,766,000",4635000.00,131000.00,1919.00,9000,$515.00
4250 MARGUERITE ST VANCOUVER V6J 4G3,"$94,030,000",91476000.00,2554000.00,1920.00,261360,$350.00
4368 MARGUERITE ST VANCOUVER V6J 4G4,"$8,949,000",5265000.00,3684000.00,2017.00,12015,$438.20
1069 27TH AVE W VANCOUVER V6H 2B5,"$4,266,000",3748000.00,518000.00,1988.00,8125,$461.29
1028 26TH AVE W VANCOUVER V6H 2A5,"$2,703,000",2334000.00,369000.00,1990.00,6480,$360.19
1050 26TH AVE W VANCOUVER V6H 2A5,"$6,171,000",3418000.00,2753000.00,2018.00,7650,$446.80
1088 26TH AVE W VANCOUVER V6H 2A5,"$4,867,000",3748000.00,1119000.00,1992.00,8125,$461.29
1029 26TH AVE W VANCOUVER V6H 2A4,"$3,285,600",3219000.00,66600.00,1925.00,8125,$396.18
4270 OSLER ST VANCOUVER V6H 2X5,"$4,331,000",3373000.00,958000.00,2004.00,6000,$562.17
4290 OSLER ST VANCOUVER V6H 2X5,"$3,773,900",3713000.00,60900.00,1925.00,7200,$515.69
4183 OSLER ST VANCOUVER V6H 2X2,"$4,154,000",3889000.00,265000.00,1985.00,7812.5,$497.79
1192 26TH AVE W VANCOUVER V6H 2A7,"$6,733,000",3728000.00,3005000.00,2011.00,7250,$514.21
4229 OSLER ST VANCOUVER V6H 2X4,"$6,894,000",3587000.00,3307000.00,2018.00,6750,$531.41
1121 27TH AVE W VANCOUVER V6H 2B7,"$3,497,800",3450000.00,47800.00,1920.00,6250,$552.00
1139 27TH AVE W VANCOUVER V6H 2B7,"$3,912,000",3450000.00,462000.00,1991.00,6250,$552.00
4276 SELKIRK ST VANCOUVER V6H 2Z8,"$3,783,300",3728000.00,55300.00,1921.00,7250,$514.21
1215 27TH AVE W VANCOUVER V6H 2C1,"$3,598,000",3332000.00,266000.00,1922.00,5875,$567.15
1246 26TH AVE W VANCOUVER V6H 2A9,"$4,806,300",4722000.00,84300.00,1921.00,9375,$503.68
1216 26TH AVE W VANCOUVER V6H 2A9,"$3,592,000",3332000.00,260000.00,1925.00,5875,$567.15
4320 SELKIRK ST VANCOUVER V6H 4B3,"$4,240,000",3728000.00,512000.00,1987.00,7250,$514.21
3584 EAST BOULEVARD VANCOUVER V6J 4A9,"$3,199,000",3126000.00,73000.00,1948.00,7800,$400.77
3688 EAST BOULEVARD VANCOUVER V6J 4B1,"$7,587,000",4099000.00,3488000.00,2014.00,14250,$287.65
3690 EAST BOULEVARD VANCOUVER V6J 4B1,"$3,396,800",3318000.00,78800.00,1924.00,14250,$232.84
3780 EAST BOULEVARD VANCOUVER V6J 4B1,"$3,458,700",3384000.00,74700.00,1947.00,9162,$369.35
2091 KING EDWARD AVE W VANCOUVER V6J 2W8,"$2,846,700",2761000.00,85700.00,1951.00,9318,$296.31
2083 KING EDWARD AVE W VANCOUVER V6J 2W8,"$4,307,000",2739000.00,1568000.00,2014.00,9159,$299.05
3789 CEDAR CRES VANCOUVER V6J 2R7,"$6,528,000",5957000.00,571000.00,1913.00,19268,$309.17
3783 CEDAR CRES VANCOUVER V6J 2R7,"$7,559,000",6177000.00,1382000.00,1995.00,12400,$498.15
3770 CEDAR CRES VANCOUVER V6J 2R8,"$6,512,000",6376000.00,136000.00,1967.00,12982,$491.14
1998 HOSMER AVE VANCOUVER V6J 2S8,"$6,843,000",6639000.00,204000.00,1913.00,23506,$282.44
1998 HOSMER AVE VANCOUVER V6J 2S8,"$6,843,000",6639000.00,204000.00,1913.00,23506,$282.44
1998 HOSMER AVE VANCOUVER V6J 2S8,"$6,843,000",6639000.00,204000.00,1913.00,23506,$282.44
3743 CYPRESS ST VANCOUVER V6J 3P4,"$11,697,000",6557000.00,5140000.00,2014.00,15208,$431.15
3751 CYPRESS ST VANCOUVER V6J 3P4,"$6,654,000",5174000.00,1480000.00,1912.00,15194,$340.53
1955 MATTHEWS AVE VANCOUVER V6J 2T8,"$7,480,000",5515000.00,1965000.00,1995.00,11583,$476.13
1965 MATTHEWS AVE VANCOUVER V6J 2T8,"$5,034,000",4279000.00,755000.00,1912.00,11338,$377.40
1965 MATTHEWS AVE VANCOUVER V6J 2T8,"$5,034,000",4279000.00,755000.00,1912.00,11338,$377.40
1998 MATTHEWS AVE VANCOUVER V6J 2T7,"$4,696,000",4613000.00,83000.00,1913.00,12343,$373.73
1988 MATTHEWS AVE VANCOUVER V6J 2T7,"$4,510,000",4319000.00,191000.00,1925.00,11478,$376.29
4051 CYPRESS ST VANCOUVER V6J 3P6,"$9,071,000",4057000.00,5014000.00,2003.00,15768.76,$257.28
4051 PINE CRES VANCOUVER V6J 4K6,"$4,342,000",3307000.00,1035000.00,1912.00,16547.3903,$199.85
1888 MATTHEWS AVE VANCOUVER V6J 2T6,"$7,931,000",5186000.00,2745000.00,1911.00,15287.4,$339.23
1825 KING EDWARD AVE W VANCOUVER V6J 2W3,"$3,602,000",3358000.00,244000.00,1912.00,17243,$194.75
3990 PINE CRES VANCOUVER V6J 4K5,"$5,192,000",5006000.00,186000.00,1926.00,13913,$359.81
3837 ANGUS DR VANCOUVER V6J 4H8,"$5,348,000",5015000.00,333000.00,1913.00,13950,$359.50
3663 PINE CRES VANCOUVER V6J 4K4,"$9,154,000",6678000.00,2476000.00,1912.00,22094.9872,$302.24
3738 PINE CRES VANCOUVER V6J 4K3,"$7,377,000",7154000.00,223000.00,1966.00,17581.7,$406.90
1774 16TH AVE W VANCOUVER V6J 2M1,"$3,432,000",3329000.00,103000.00,1912.00,14375,$231.58
1727 CEDAR CRES VANCOUVER V6J 2R1,"$7,264,000",5600000.00,1664000.00,1999.00,12500,$448.00
1738 CEDAR CRES VANCOUVER V6J 2R2,"$5,898,000",5582000.00,316000.00,1920.00,19250,$289.97
3389 PINE CRES VANCOUVER V6J 4K1,"$4,541,000",3838000.00,703000.00,1925.00,10756,$356.82
3490 PINE CRES VANCOUVER V6J 4J8,"$23,338,000",10931000.00,12407000.00,2013.00,26543.696,$411.81
3488 PINE CRES VANCOUVER V6J 4J8,"$15,314,000",8502000.00,6812000.00,2002.00,20361.62,$417.55
3998 MARGUERITE ST VANCOUVER V6J 4G1,"$5,241,000",3768000.00,1473000.00,1994.00,14797.59,$254.64
3803 MARGUERITE ST VANCOUVER V6J 4E8,"$6,782,000",6643000.00,139000.00,1957.00,18953,$350.50
3899 MARGUERITE ST VANCOUVER V6J 4E8,"$4,255,000",4017000.00,238000.00,1912.00,11427,$351.54
3989 MARGUERITE ST VANCOUVER V6J 4E8,"$5,128,000",4952000.00,176000.00,1912.00,16410.52,$301.76
3926 ANGUS DR VANCOUVER V6J 4H7,"$5,015,000",4902000.00,113000.00,1922.00,13798.5,$355.26
1789 MATTHEWS AVE VANCOUVER V6J 2T3,"$11,881,000",9297000.00,2584000.00,1918.00,31359,$296.47
3738 ANGUS DR VANCOUVER V6J 4H5,"$16,548,000",12176000.00,4372000.00,1995.00,33074,$368.14
3937 MARGUERITE ST VANCOUVER V6J 4E8,"$4,114,000",3884000.00,230000.00,1924.00,10285.41,$377.62
1733 ANGUS DR VANCOUVER V6J 4H4,"$11,601,000",10238000.00,1363000.00,1911.00,32643,$313.64
3990 MARGUERITE ST VANCOUVER V6J 4G1,"$5,223,000",4936000.00,287000.00,1918.00,16113,$306.34
1626 LAURIER AVE VANCOUVER V6J 2V4,"$12,241,000",6080000.00,6161000.00,1913.00,20000,$304.00
5037 MAPLE ST VANCOUVER V6M 4J8,"$5,342,000",4514000.00,828000.00,1988.00,5979,$754.98
1494 40TH AVE W VANCOUVER V6M 1V5,"$2,761,500",2674000.00,87500.00,1931.00,6905.088,$387.25
1375 38TH AVE W VANCOUVER V6M 1R3,"$7,951,000",6039000.00,1912000.00,1999.00,19800,$305.00
4725 CONNAUGHT DR VANCOUVER V6J 4E4,"$9,718,000",6125000.00,3593000.00,2019.00,15461,$396.16
4725 CONNAUGHT DR VANCOUVER V6J 4E4,"$9,718,000",6125000.00,3593000.00,2019.00,15461,$396.16
1628 MARPOLE AVE VANCOUVER V6J 2S1,"$7,400,000",5652000.00,1748000.00,1911.00,19698,$286.93
5422 OSLER ST VANCOUVER V6M 2W9,"$3,653,200",3556000.00,97200.00,1965.00,7880.312,$451.25
1136 27TH AVE W VANCOUVER V6H 2B8,"$3,516,700",3450000.00,66700.00,1922.00,6250,$552.00
1216 27TH AVE W VANCOUVER V6H 2B9,"$3,775,000",3332000.00,443000.00,1990.00,5875,$567.15
4343 SELKIRK ST VANCOUVER V6H 4E2,"$4,154,000",3450000.00,704000.00,1995.00,6250,$552.00
4290 HUDSON ST VANCOUVER V6H 3B4,"$3,875,000",3448000.00,427000.00,1921.00,6243.75,$552.23
1288 26TH AVE W VANCOUVER V6H 2A9,"$4,632,000",3450000.00,1182000.00,2009.00,6250,$552.00
1266 26TH AVE W VANCOUVER V6H 2A9,"$3,971,000",3450000.00,521000.00,1919.00,6250,$552.00
1255 26TH AVE W VANCOUVER V6H 2A8,"$4,633,000",3450000.00,1183000.00,2006.00,6250,$552.00
1256 27TH AVE W VANCOUVER V6H 2B9,"$3,495,600",3450000.00,45600.00,1920.00,6250,$552.00
1256 27TH AVE W VANCOUVER V6H 2B9,"$3,495,600",3450000.00,45600.00,1920.00,6250,$552.00
1491 NANTON AVE VANCOUVER V6H 2E1,"$3,422,000",3039000.00,383000.00,1925.00,8775,$346.32
1428 26TH AVE W VANCOUVER V6H 2B4,"$6,497,000",4635000.00,1862000.00,1994.00,9000,$515.00
4225 CARTIER ST VANCOUVER V6H 3E2,"$5,237,000",4875000.00,362000.00,1927.00,10112.5,$482.08
4233 CARTIER ST VANCOUVER V6H 3E2,"$5,053,000",3887000.00,1166000.00,1988.00,8750,$444.23
1441 26TH AVE W VANCOUVER V6H 2B3,"$5,232,000",4763000.00,469000.00,1927.00,9562.5,$498.09
1471 26TH AVE W VANCOUVER V6H 2B3,"$6,517,000",3954000.00,2563000.00,2019.00,9562.5,$413.49
1305 26TH AVE W VANCOUVER V6H 2B2,"$4,770,000",4340000.00,430000.00,1988.00,7875,$551.11
1323 26TH AVE W VANCOUVER V6H 2B2,"$5,201,000",4375000.00,826000.00,1924.00,8000,$546.88
4215 HUDSON ST VANCOUVER V6H 3B3,"$3,714,000",3450000.00,264000.00,1983.00,6250,$552.00
1335 NANTON AVE VANCOUVER V6H 2C8,"$5,088,900",5026000.00,62900.00,1923.00,10970,$458.16
1363 NANTON AVE VANCOUVER V6H 2C8,"$7,117,000",5328000.00,1789000.00,1995.00,12320.165,$432.46
1577 NANTON AVE VANCOUVER V6J 2X3,"$4,716,000",4573000.00,143000.00,1925.00,8750,$522.63
1591 NANTON AVE VANCOUVER V6J 2X3,"$4,968,000",4397000.00,571000.00,1925.00,8972.5,$490.05
1525 28TH AVE W VANCOUVER V6J 2Y4,"$6,173,000",3908000.00,2265000.00,2009.00,9317.54,$419.42
1575 28TH AVE W VANCOUVER V6J 2Y4,"$4,680,000",4442000.00,238000.00,1922.00,8243.4,$538.86
4376 ALEXANDRA ST VANCOUVER V6J 4C7,"$5,752,000",4851000.00,901000.00,2021.00,9992,$485.49
1576 28TH AVE W VANCOUVER V6J 2Y5,"$5,207,000",4833000.00,374000.00,1922.00,9900,$488.18
1542 28TH AVE W VANCOUVER V6J 2Y5,"$7,373,000",4592000.00,2781000.00,2012.00,9900,$463.84
1525 29TH AVE W VANCOUVER V6J 2Z1,"$4,381,000",4244000.00,137000.00,1922.00,11325,$374.75
1557 29TH AVE W VANCOUVER V6J 2Z1,"$5,804,000",4833000.00,971000.00,1987.00,9900,$488.18
1657 28TH AVE W VANCOUVER V6J 2Y6,"$5,142,000",4721000.00,421000.00,1922.00,9367.5,$503.98
1641 28TH AVE W VANCOUVER V6J 2Y6,"$6,931,000",4721000.00,2210000.00,1984.00,9367.5,$503.98
1641 28TH AVE W VANCOUVER V6J 2Y6,"$6,931,000",4721000.00,2210000.00,1984.00,9367.5,$503.98
1607 28TH AVE W VANCOUVER V6J 2Y6,"$4,876,000",4721000.00,155000.00,1926.00,9367.5,$503.98
1608 NANTON AVE VANCOUVER V6J 2X4,"$4,426,000",4248000.00,178000.00,1926.00,9367.5,$453.48
1644 NANTON AVE VANCOUVER V6J 2X4,"$4,400,000",4248000.00,152000.00,1924.00,9367.5,$453.48
1680 NANTON AVE VANCOUVER V6J 2X4,"$4,014,500",3941000.00,73500.00,1924.00,8018.58,$491.48
4438 MARGUERITE ST VANCOUVER V6J 4G6,"$8,216,000",4917000.00,3299000.00,2008.00,10339,$475.58
1629 29TH AVE W VANCOUVER V6J 2Z3,"$10,464,000",5262000.00,5202000.00,2011.00,12000,$438.50
1628 28TH AVE W VANCOUVER V6J 2Y7,"$7,194,000",5262000.00,1932000.00,1994.00,12000,$438.50
4128 CARTIER ST VANCOUVER,"$4,229,000",3420000.00,809000.00,2021.00,10575,$323.40
1370 KING EDWARD AVE W VANCOUVER V6H 1Z9,"$3,551,000",3411000.00,140000.00,1928.00,10500,$324.86
1360 KING EDWARD AVE W VANCOUVER V6H 1Z9,"$3,953,000",3411000.00,542000.00,1929.00,10500,$324.86
1336 KING EDWARD AVE W VANCOUVER V6H 1Z9,"$3,681,000",3411000.00,270000.00,1929.00,10500,$324.86
1010 KING EDWARD AVE W VANCOUVER V6H 1Z4,"$10,342,600",10331000.00,11600.00,1980.00,11316,$912.96
1030 KING EDWARD AVE W VANCOUVER V6H 1Z4,"$3,037,000",2842000.00,195000.00,1946.00,9975,$284.91
1110 KING EDWARD AVE W VANCOUVER V6H 1Z6,"$3,795,000",3431000.00,364000.00,1946.00,9450,$363.07
1270 KING EDWARD AVE W VANCOUVER V6H 1Z7,"$5,537,000",3411000.00,2126000.00,2012.00,10500,$324.86
1250 KING EDWARD AVE W VANCOUVER V6H 1Z7,"$3,817,000",3411000.00,406000.00,1928.00,10500,$324.86
1236 KING EDWARD AVE W VANCOUVER V6H 1Z7,"$3,472,300",3411000.00,61300.00,1946.00,10500,$324.86
4515 CONNAUGHT DR VANCOUVER V6J 4E1,"$16,312,000",4544000.00,11768000.00,2019.00,18406,$246.88
1550 29TH AVE W VANCOUVER V6J 2Z2,"$9,735,000",5484000.00,4251000.00,2019.00,11813,$464.23
1688 29TH AVE W VANCOUVER V6J 2Z4,"$7,316,000",5994000.00,1322000.00,1991.00,14580.2639,$411.10
1638 29TH AVE W VANCOUVER V6J 2Z4,"$5,608,000",5093000.00,515000.00,1924.00,11245,$452.91
4511 BEVERLY CRES VANCOUVER V6J 4E7,"$5,986,000",5245000.00,741000.00,2021.00,14112,$371.67
4588 OSLER ST VANCOUVER V6H 2Y1,"$4,400,000",3373000.00,1027000.00,1996.00,6000,$562.17
4630 OSLER ST VANCOUVER V6H 2Y4,"$4,671,000",3373000.00,1298000.00,2011.00,6000,$562.17
4670 OSLER ST VANCOUVER V6H 2Y4,"$3,528,000",3373000.00,155000.00,1924.00,6000,$562.17
4629 OAK ST VANCOUVER V6H 2N7,"$2,368,900",2334000.00,34900.00,1928.00,6480,$360.19
1030 DEVONSHIRE CRES VANCOUVER V6H 2E8,"$6,736,000",3219000.00,3517000.00,2019.00,8125,$396.18
1021 DEVONSHIRE CRES VANCOUVER V6H 2E7,"$5,292,000",3209000.00,2083000.00,2016.00,8074,$397.45
4589 OAK ST VANCOUVER V6H 2N6,"$2,371,600",2334000.00,37600.00,1947.00,6480,$360.19
1009 32ND AVE W VANCOUVER V6H 2H7,"$2,303,200",2232000.00,71200.00,1926.00,5970,$373.87
4777 OAK ST VANCOUVER V6H 2N8,"$2,311,800",2230000.00,81800.00,1926.00,5958,$374.29
4721 OAK ST VANCOUVER V6H 2N8,"$2,262,600",2230000.00,32600.00,1926.00,5958,$374.29
1109 DEVONSHIRE CRES VANCOUVER V6H 2E9,"$3,907,000",3490000.00,417000.00,1925.00,6389,$546.25
1168 DEVONSHIRE CRES VANCOUVER V6H 2G1,"$3,337,600",3275000.00,62600.00,1923.00,5709,$573.66
1120 DEVONSHIRE CRES VANCOUVER V6H 2G1,"$3,415,500",3338000.00,77500.00,1922.00,5894,$566.34
1108 DEVONSHIRE CRES VANCOUVER V6H 2G1,"$3,822,000",3412000.00,410000.00,1989.00,6125,$557.06
1177 CONNAUGHT DR VANCOUVER V6H 2G9,"$6,061,000",4679000.00,1382000.00,1995.00,9182.58,$509.55
1191 CONNAUGHT DR VANCOUVER V6H 2G9,"$5,641,200",5555000.00,86200.00,1923.00,11067.81,$501.91
1188 CONNAUGHT DR VANCOUVER V6H 2H1,"$7,333,000",4898000.00,2435000.00,2017.00,10232.8702,$478.65
1151 32ND AVE W VANCOUVER V6H 2H8,"$6,864,000",4715000.00,2149000.00,2017.00,9340.98,$504.77
4688 SELKIRK ST VANCOUVER V6H 2Z9,"$7,993,000",4536000.00,3457000.00,2013.00,8607,$527.01
4818 SELKIRK ST VANCOUVER V6H 3A3,"$7,076,000",5103000.00,1973000.00,1992.00,11286,$452.15
1150 32ND AVE W VANCOUVER V6H 2H9,"$8,548,000",5039000.00,3509000.00,2011.00,11021.58,$457.19
4778 OSLER ST VANCOUVER V6H 2Y6,"$3,923,000",3373000.00,550000.00,1993.00,6000,$562.17
4716 HUDSON ST VANCOUVER V6H 3C2,"$7,649,000",7205000.00,444000.00,1949.00,19877,$362.48
4750 HUDSON ST VANCOUVER V6H 3C2,"$5,862,000",5675000.00,187000.00,1927.00,12718.2,$446.21
4788 HUDSON ST VANCOUVER V6H 3C2,"$6,271,000",5392000.00,879000.00,1988.00,11425.26,$471.94
4761 SELKIRK ST VANCOUVER V6H 3A2,"$5,889,000",5004000.00,885000.00,1990.00,10835.88,$461.80
1238 CONNAUGHT DR VANCOUVER V6H 2H2,"$7,289,000",5430000.00,1859000.00,1996.00,10441.86,$520.02
1216 CONNAUGHT DR VANCOUVER V6H 2H2,"$5,569,000",5418000.00,151000.00,1922.00,10381.14,$521.91
1213 32ND AVE W VANCOUVER V6H 2J1,"$6,377,000",4782000.00,1595000.00,1997.00,9650,$495.54
1237 32ND AVE W VANCOUVER V6H 2J1,"$5,078,000",4817000.00,261000.00,1927.00,9820.14,$490.52
1281 32ND AVE W VANCOUVER V6H 2J1,"$4,906,800",4848000.00,58800.00,1920.00,9973.26,$486.10
4586 GRANVILLE ST VANCOUVER V6H 3L9,"$4,442,000",3732000.00,710000.00,1949.00,14000,$266.57
4650 GRANVILLE ST VANCOUVER V6H 3L9,"$6,541,000",3732000.00,2809000.00,2013.00,14000,$266.57
1437 32ND AVE W VANCOUVER V6H 2J4,"$8,150,000",7018000.00,1132000.00,2021.00,17380,$403.80
1411 32ND AVE W VANCOUVER V6H 2J4,"$7,188,000",6901000.00,287000.00,1949.00,16600,$415.72
1383 32ND AVE W VANCOUVER V6H 2J4,"$7,021,000",6869000.00,152000.00,1937.00,16400,$418.84
1349 32ND AVE W VANCOUVER V6H 2J4,"$12,917,000",6753000.00,6164000.00,2012.00,15713,$429.77
1461 MINTO CRES VANCOUVER V6H 2J6,"$10,001,000",7316000.00,2685000.00,1996.00,17330,$422.16
1412 32ND AVE W VANCOUVER V6H 2J3,"$7,261,000",7022000.00,239000.00,1937.00,17404,$403.47
1412 32ND AVE W VANCOUVER V6H 2J3,"$7,261,000",7022000.00,239000.00,1937.00,17404,$403.47
1318 MINTO CRES VANCOUVER V6H 2J5,"$17,729,000",9364000.00,8365000.00,2010.00,26581.6,$352.27
1330 MINTO CRES VANCOUVER V6H 2J5,"$8,739,000",7710000.00,1029000.00,1992.00,17915,$430.37
1370 MINTO CRES VANCOUVER V6H 2J5,"$8,289,000",8024000.00,265000.00,1923.00,20346.2004,$394.37
1390 MINTO CRES VANCOUVER V6H 2J5,"$10,873,000",8640000.00,2233000.00,1991.00,23184,$372.67
1192 DEVONSHIRE CRES VANCOUVER V6H 2G1,"$4,380,700",4307000.00,73700.00,1925.00,7763,$554.81
1316 CONNAUGHT DR VANCOUVER V6H 2H3,"$14,333,000",7279000.00,7054000.00,2003.00,19403,$375.15
1384 CONNAUGHT DR VANCOUVER V6H 2H3,"$9,565,000",6464000.00,3101000.00,2010.00,17821.59,$362.71
